filepath,digits,indexnum,errornumrandomgroup1,errornumrandomgroup2,errornumrandomgroup3
hsf_4/f2477_69/d2477_69/d2477_69_00038.png,5,16,0,4,9
hsf_4/f2477_69/d2477_69/d2477_69_00060.png,5,53,1,0,1
hsf_4/f2477_69/d2477_69/d2477_69_00073.png,7,114,0,0,2
hsf_4/f2599_91/d2599_91/d2599_91_00086.png,2,141,0,2,1
hsf_4/f2599_91/d2599_91/d2599_91_00049.png,2,146,9,10,10
hsf_4/f2599_91/d2599_91/d2599_91_00095.png,5,166,1,9,9
hsf_4/f2599_91/d2599_91/d2599_91_00059.png,5,170,1,0,0
hsf_4/f2599_91/d2599_91/d2599_91_00064.png,2,202,0,4,8
hsf_4/f2599_91/d2599_91/d2599_91_00074.png,2,212,0,0,3
hsf_4/f2599_91/d2599_91/d2599_91_00045.png,1,221,1,7,9
hsf_4/f2509_53/d2509_53/d2509_53_00056.png,0,231,8,10,10
hsf_4/f2509_53/d2509_53/d2509_53_00053.png,5,279,0,3,5
hsf_4/f2509_53/d2509_53/d2509_53_00052.png,0,289,7,8,6
hsf_4/f2509_53/d2509_53/d2509_53_00055.png,0,293,9,10,9
hsf_4/f2509_53/d2509_53/d2509_53_00031.png,3,298,3,2,0
hsf_4/f2509_53/d2509_53/d2509_53_00072.png,5,301,0,1,1
hsf_4/f2509_53/d2509_53/d2509_53_00012.png,8,320,0,1,0
hsf_4/f2509_53/d2509_53/d2509_53_00089.png,2,323,1,0,5
hsf_4/f2509_53/d2509_53/d2509_53_00041.png,0,329,3,1,0
hsf_4/f2509_53/d2509_53/d2509_53_00057.png,9,335,1,7,10
hsf_4/f2509_53/d2509_53/d2509_53_00026.png,5,337,0,0,1
hsf_4/f2509_53/d2509_53/d2509_53_00070.png,2,341,3,8,9
hsf_4/f2245_95/d2245_95/d2245_95_00015.png,4,409,4,10,10
hsf_4/f2245_95/d2245_95/d2245_95_00059.png,6,423,1,0,0
hsf_4/f2245_95/d2245_95/d2245_95_00112.png,3,437,2,5,4
hsf_4/f2385_83/d2385_83/d2385_83_00057.png,7,477,0,1,6
hsf_4/f2385_83/d2385_83/d2385_83_00038.png,7,482,0,0,1
hsf_4/f2385_83/d2385_83/d2385_83_00101.png,9,493,4,9,10
hsf_4/f2385_83/d2385_83/d2385_83_00078.png,8,496,1,0,0
hsf_4/f2385_83/d2385_83/d2385_83_00093.png,7,497,0,1,4
hsf_4/f2385_83/d2385_83/d2385_83_00005.png,4,502,0,1,3
hsf_4/f2385_83/d2385_83/d2385_83_00029.png,9,520,4,8,9
hsf_4/f2385_83/d2385_83/d2385_83_00071.png,9,525,1,0,0
hsf_4/f2385_83/d2385_83/d2385_83_00063.png,1,529,0,0,6
hsf_4/f2385_83/d2385_83/d2385_83_00081.png,7,539,2,6,9
